Datum;"Pocet potvrdenych PCR testami";"Dennych PCR testov";"Dennych PCR prirastkov";"Pocet umrti"
06-03-2020;1;378;1;0
07-03-2020;3;66;2;0
08-03-2020;5;76;2;0
09-03-2020;7;69;2;0
10-03-2020;7;111;0;0
11-03-2020;10;97;3;0
12-03-2020;21;95;11;0
13-03-2020;32;58;11;0
14-03-2020;44;197;12;0
15-03-2020;61;289;17;0
16-03-2020;72;159;11;0
17-03-2020;96;318;24;0
18-03-2020;104;225;8;0
19-03-2020;123;301;19;0
20-03-2020;137;368;14;0
21-03-2020;178;440;41;0
22-03-2020;185;242;7;0
23-03-2020;204;451;19;0
24-03-2020;216;476;12;0
25-03-2020;226;335;10;0
26-03-2020;269;913;43;0
27-03-2020;292;747;23;0
28-03-2020;314;720;22;0
29-03-2020;336;401;22;0
30-03-2020;363;688;27;1
31-03-2020;400;877;37;1
01-04-2020;426;1191;26;1
02-04-2020;450;1454;24;1
03-04-2020;471;1889;21;1
04-04-2020;485;1524;14;1
05-04-2020;534;1036;49;2
06-04-2020;581;1448;47;2
07-04-2020;682;2042;101;2
08-04-2020;701;1690;19;2
09-04-2020;715;2301;14;2
10-04-2020;728;2174;13;2
11-04-2020;742;1580;14;2
12-04-2020;769;1324;27;2
13-04-2020;835;1302;66;2
14-04-2020;863;1439;28;6
15-04-2020;977;2967;114;8
16-04-2020;1049;3351;72;9
17-04-2020;1089;3144;40;11
18-04-2020;1161;3323;72;12
19-04-2020;1173;2458;12;13
20-04-2020;1199;2694;26;14
21-04-2020;1244;3468;45;14
22-04-2020;1325;4525;81;15
23-04-2020;1360;3840;35;17
24-04-2020;1373;4828;13;17
25-04-2020;1379;4839;6;18
26-04-2020;1381;3171;2;18
27-04-2020;1384;1767;3;20
28-04-2020;1391;5472;7;21
29-04-2020;1396;4584;5;23
30-04-2020;1403;5150;7;23
01-05-2020;1407;3698;4;24
02-05-2020;1408;1450;1;24
03-05-2020;1413;1584;5;25
04-05-2020;1421;2060;8;25
05-05-2020;1429;4742;8;25
06-05-2020;1445;5161;16;26
07-05-2020;1455;4694;10;26
08-05-2020;1455;3910;0;26
09-05-2020;1457;1488;2;26
10-05-2020;1457;786;0;26
11-05-2020;1465;2063;8;27
12-05-2020;1469;4326;4;27
13-05-2020;1477;4876;8;27
14-05-2020;1480;3992;3;27
15-05-2020;1493;4084;13;28
16-05-2020;1494;2476;1;28
17-05-2020;1495;971;1;28
18-05-2020;1495;2041;0;28
19-05-2020;1496;3371;1;28
20-05-2020;1502;2933;6;28
21-05-2020;1503;2751;1;28
22-05-2020;1504;2236;1;28
23-05-2020;1509;1649;5;28
24-05-2020;1511;645;2;28
25-05-2020;1513;1464;2;28
26-05-2020;1515;2839;2;28
27-05-2020;1520;2352;5;28
28-05-2020;1520;1848;0;28
29-05-2020;1521;3433;1;28
30-05-2020;1521;1606;0;28
31-05-2020;1522;274;1;28
01-06-2020;1522;6418;0;28
02-06-2020;1525;2336;3;28
03-06-2020;1526;2135;1;28
04-06-2020;1526;1832;0;28
05-06-2020;1528;2639;2;28
06-06-2020;1528;1180;0;28
07-06-2020;1530;160;2;28
08-06-2020;1531;851;1;28
09-06-2020;1533;1545;2;28
10-06-2020;1541;1500;8;28
11-06-2020;1542;1262;1;28
12-06-2020;1545;1511;3;28
13-06-2020;1548;479;3;28
14-06-2020;1552;47;4;28
15-06-2020;1552;847;0;28
16-06-2020;1561;1163;9;28
17-06-2020;1562;787;1;28
18-06-2020;1576;806;14;28
19-06-2020;1586;1278;10;28
20-06-2020;1587;301;1;28
21-06-2020;1588;41;1;28
22-06-2020;1589;661;1;28
23-06-2020;1607;1257;18;28
